name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-armv7l,linux-ppc64le,noarch,osx-64,osx-arm64,win-32,win-64,win-arm64
geopy,,False,,2.4.1,2024-12-16,,,Python Geocoding Toolbox.,https://github.com/geopy/geopy,,,MIT,2,geographiclib/python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
ghapi,,False,,1.0.13,2026-02-28,,,A python client for the GitHub API,https://github.com/fastai/ghapi/,,,Apache-2.0,3,fastcore/pip/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ghp-import,,False,,2.1.0,2024-12-16,,,Copy your docs directly to the gh-pages branch.,http://github.com/davisp/ghp-import,,,Apache-2.0,2,python/python-dateutil,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
github3.py,,True,,4.0.1,2024-11-14,,,Python wrapper for the GitHub API (http://developer.github.com/v3).,https://github3.readthedocs.io,,,BSD-3-Clause,5,pyjwt/python/python-dateutil/requests/uritemplate,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
glom,,False,,25.12.0,2025-12-29,,,"A declarative object transformer and formatter, for conglomerating nested data.",https://github.com/mahmoud/glom,,,BSD-3-Clause,4,attrs/boltons/face/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
gooey,,True,,1.0.8.1,2026-03-26,,,Turn (almost) any command line program into a full GUI application with one line,http://pypi.python.org/pypi/Gooey,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,6,colored/pillow/psutil/pygtrie/python/wxpython,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False
googlemaps,,True,,4.10.0,2024-12-31,,,Python client library for Google Maps Platform,https://github.com/googlemaps/google-maps-services-python,https://github.com/googlemaps/google-maps-services-python,https://github.com/googlemaps/google-maps-services-python,Apache-2.0,2,python/requests,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
gpxpy,,True,,1.6.2,2024-12-23,,,GPX file parser and GPS track manipulation library,https://github.com/tkrajina/gpxpy,,,Apache-2.0,1,python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
graphviz,,False,,14.1.2,2017-11-27,numba,,Open Source graph visualization software.,http://www.graphviz.org/,https://gitlab.com/graphviz/graphviz/,https://graphviz.gitlab.io/documentation/,EPL-1.0,0,,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False
grayskull,,True,,3.1.1,2026-05-03,,,Project to generate recipes for conda packages,https://pypi.org/project/grayskull/,https://github.com/marcelotrevisani/grayskull,,Apache-2.0,16,beautifulsoup4/colorama/conda-recipe-manager/conda-souschef/packaging/pip/pkginfo/progressbar2/python/rapidfuzz/requests/ruamel.yaml/ruamel.yaml.jinja2/setuptools/stdlib-list/tomli-w,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
